audio_path,reference,prediction,cer
radio_2/a/2b/b95dfcb16837.opus,а две три знаете как к носу ивана ивановича прибавить можно и этому нарисовать крестик и этому каждому по крестику нарисовать вроде как получилось что полный политический спектр ты,иберенае каотгоголя к нос иван ванчтопрб в може  этому нарисовать кристикаэтомур всекажм по кристику нарисовать ну броде как получилась  полный политический спектор,0.2093023255813954
radio_2/c/d6/65a59640c016.opus,все и сейчас это то же самое обама предлагает мы обсуждаем обама делает мы обсуждаем нато что то делает мы обсуждаем ну давайте что нибудь кремль предложил сделал а потом весь мир будет этого не происходит и,и и сечас ь то же самобам предлагает мы обсуждаем  обамы делат мы обсуждаем нато чео делать м обсужда давайте  кремль подложилаь сдела а потом есть мер бт а это дру не происходит,0.1636363636363637
radio_2/7/df/8b22683aa40c.opus,вот после всего что сделал эдуард лимонов за последние один* пять года и как он так сказать ну что он нам рассказывал у него все таки довольно сильно поменялись позиции согласитесь вернее, после всего что сдела дуар длямоно послний потара года  как онк сазат что о нам рассказывал у н все таки довальн сильно поменялись позиции согласить сверне,0.1428571428571429
radio_2/9/a8/b7c7dfd6f52e.opus,у в любом случае реагирует понимаете то есть не она уже определяет повестку дня она ждет когда кто нибудь что нибудь сделает тогда найдет повод посмотреть, вреас уча рягивает примат т есьнона уже определяет повестку дня она ждет когда что нибудькто нибудь сделает тода вас приа то найдем повод посмотреть,0.16831683168316836
radio_2/0/1d/998393c54d6e.opus,т ну как оно есть конечно даже в советском союзе было что то негосударственное кстати говоря бизнес это в общем то негосударственная структура а, каоно есть кнечно ста даже в советском союзе было что то не государственноя ксатга бизнес это в бем то не государственная стуктурыо,0.1159420289855072
radio_2/a/82/11e3e7594141.opus,ю что если бы у всех был домик в горах много хлеба с маслом и никаких бомбежек то никто не высказывался бы против фюрера сказал айсман, еслибу все был домик в гарах многох лебо смасным и никаких бомбежик то никто не высказывался бы против фюора сказалас,0.11904761904761907
radio_2/6/57/80022fc14477.opus,и самая основная составляющая чем дальше транспортировать газ тем дороже ну не может по определению газ для германии стоить дешевле чем для украины а именно так оно и было, самы основна составляющ чем дальше транспортировать газ тем дороже  не может по определению газ для германии стоять стот гешавли чм для украина и на так оно  был,0.09909909909909909
radio_2/3/72/7c6210fc7641.opus,то есть в любой области конечно свидетельство его широчайшей эрудиции глубоких исторических познаний и вообще адекватном взгляде на мир как будто человек три класса церковно приходской школы окончил,то есть любой области канечно  сдетельствоа блаигошчайшие рудиции глубоких исторических познаниях вообще дкватам взгляднаимер кабу человек не знаю трикластрковна приходскошкул кончи,0.17150395778364114
radio_2/5/b4/bb8cd6f251e9.opus,пряталась еврейская семья или сдавали своих мужей или там наказывали таким образом своих любовниц или любовников которые уходили и зна,прятолся еврийской семя или здавали своихуже или наказывали таким образом своих любовницели любовников которы уходили чи,0.11811023622047245
radio_2/a/a9/35460bbf3c35.opus,я когда присуждение премии мира вызывало очень большие вопросы начиная с того когда она была присуждена,о когда присуждение на блиской преми миро вазвала очень большие вопросы нач начинаяс того когда она была пресуждена,0.12844036697247707
radio_2/0/d9/55167ed4708f.opus,немного их будет но я подумал вот о чем ну вот сейчас начнется сейчас будет усиление углубление все возбудятся все станут проверять а почему в спокойном режиме,не многох будет я подум в  чемт сейчас начнется сейчас пут училение углубление все дяя все н проверять а почему в спокойно режиме,0.125
radio_2/7/29/c3dfcc4dcbb1.opus,в нашей стране извините у нас виолончелисты держат друзья там нашего президента держат почему то в панамских оффшорах а не в россии почему пото,в наша стране даж извинить у нас милончилистыежт изблизкую грузья нашего презденты ежи поичему то панамских офшорах они в россии почему,0.20143884892086328
radio_2/f/6b/4caa45c42247.opus,потому что в нашей стране у тебя всегда могут как говорил премьер министр так сказать закошмарить любой бизнес отжать и еще предпринимателя посадить вот все эти истории начиная со сноса киосков это,потому что в нашей страни утея всегда могут как говорил премьер министр закошмарит любой бизнес оджать еще предпринимателей посадить вот се эти история начинаес со сносоки озков,0.106951871657754
radio_2/6/83/6100c9dd46da.opus,сом никто из чиновников не пострадал хотя признавались что да виноваты да да да да и никто не пострадал и никаких последствий административных, никто из чиновников не пострадал хотя признавалис что давеноваты да  дада никто не поспс  никаких последствия административных,0.08550185873605953
